topic,successors,antecedents
44_16,"['45_14', '45_0', '45_36']","['43_3', '43_29', '43_14']"
44_17,"['45_6', '45_0', '45_22']","['43_15', '43_0', '43_14']"
44_18,"['45_10', '45_5', '45_27']","['43_8', '43_28', '43_9']"
44_19,"['45_0', '45_14', '45_6']","['43_29', '43_3', '43_0']"
44_20,"['45_34', '45_5', '45_1']","['43_12', '43_9', '43_17']"
44_21,"['45_12', '45_0', '45_22']","['43_11', '43_14', '43_7']"
44_22,"['45_8', '45_28', '45_23']","['43_32', '43_4', '43_36']"
44_23,"['45_1', '45_5', '45_9']","['43_21', '43_22', '43_18']"
44_24,"['45_11', '45_0', '45_12']","['43_11', '43_35', '43_5']"
44_25,"['45_29', '45_14', '45_0']","['43_25', '43_3', '43_7']"
44_26,"['45_5', '45_11', '45_20']","['43_19', '43_12', '43_9']"
44_27,"['45_12', '45_14', '45_7']","['43_14', '43_11', '43_7']"
44_28,"['45_5', '45_1', '45_4']","['43_13', '43_9', '43_26']"
44_29,"['45_21', '45_5', '45_24']","['43_28', '43_12', '43_10']"
44_30,"['45_5', '45_34', '45_19']","['43_23', '43_17', '43_12']"
44_31,"['45_4', '45_2', '45_7']","['43_33', '43_16', '43_14']"
44_32,"['45_31', '45_5', '45_12']","['43_9', '43_16', '43_12']"
44_33,"['45_6', '45_22', '45_0']","['43_15', '43_29', '43_11']"
44_34,"['45_2', '45_7', '45_32']","['43_14', '43_16', '43_29']"
44_35,"['45_15', '45_29', '45_33']","['43_34', '43_30', '43_26']"
44_36,"['45_5', '45_27', '45_34']","['43_28', '43_9', '43_8']"
45_0,"['46_0', '46_19', '46_22']","['44_6', '44_3', '44_19']"
45_1,"['46_1', '46_36', '46_30']","['44_7', '44_23', '44_20']"
45_2,"['46_2', '46_36', '46_0']","['44_34', '44_19', '44_31']"
45_3,"['46_3', '46_7', '46_10']","['44_2', '44_21', '44_20']"
45_4,"['46_4', '46_11', '46_24']","['44_31', '44_1', '44_13']"
45_5,"['46_34', '46_26', '46_30']","['44_36', '44_20', '44_30']"
45_6,"['46_19', '46_0', '46_29']","['44_17', '44_33', '44_19']"
45_7,"['46_11', '46_4', '46_2']","['44_13', '44_27', '44_34']"
45_8,"['46_9', '46_27', '46_4']","['44_22', '44_8', '44_20']"
45_9,"['46_32', '46_20', '46_1']","['44_11', '44_36', '44_9']"
45_10,"['46_14', '46_5', '46_23']","['44_18', '44_36', '44_29']"
45_11,"['46_10', '46_29', '46_0']","['44_24', '44_1', '44_21']"
45_12,"['46_7', '46_30', '46_0']","['44_21', '44_27', '44_32']"
45_13,"['46_8', '46_12', '46_17']","['44_15', '44_5', '44_2']"
45_14,"['46_22', '46_0', '46_8']","['44_16', '44_19', '44_2']"
45_15,"['46_6', '46_33', '46_8']","['44_35', '44_10', '44_1']"
45_16,"['46_24', '46_30', '46_4']","['44_14', '44_20', '44_32']"
45_17,"['46_15', '46_18', '46_35']","['44_36', '44_9', '44_28']"
45_18,"['46_13', '46_37', '46_6']","['44_1', '44_2', '44_25']"
45_19,"['46_25', '46_26', '46_27']","['44_8', '44_20', '44_30']"
45_20,"['46_37', '46_13', '46_4']","['44_1', '44_24', '44_21']"
45_21,"['46_21', '46_28', '46_34']","['44_29', '44_20', '44_12']"
45_22,"['46_29', '46_36', '46_0']","['44_19', '44_33', '44_21']"
45_23,"['46_17', '46_8', '46_36']","['44_5', '44_15', '44_22']"
45_24,"['46_28', '46_21', '46_22']","['44_12', '44_29', '44_27']"
45_25,"['46_12', '46_36', '46_2']","['44_15', '44_34', '44_5']"
45_26,"['46_16', '46_6', '46_33']","['44_10', '44_35', '44_2']"
45_27,"['46_18', '46_15', '46_34']","['44_36', '44_29', '44_20']"
45_28,"['46_27', '46_9', '46_17']","['44_8', '44_22', '44_20']"
45_29,"['46_8', '46_22', '46_0']","['44_25', '44_2', '44_16']"
45_30,"['46_31', '46_23', '46_10']","['44_30', '44_20', '44_31']"
45_31,"['46_30', '46_7', '46_24']","['44_32', '44_14', '44_20']"
45_32,"['46_36', '46_2', '46_12']","['44_2', '44_1', '44_5']"
45_33,"['46_33', '46_16', '46_6']","['44_1', '44_2', '44_35']"
45_34,"['46_26', '46_34', '46_7']","['44_20', '44_8', '44_30']"
45_35,"['46_23', '46_31', '46_26']","['44_30', '44_20', '44_12']"
45_36,"['46_3', '46_22', '46_7']","['44_8', '44_2', '44_27']"
45_37,"['46_3', '46_7', '46_23']","['44_4', '44_2', '44_27']"
46_0,"['47_0', '47_6', '47_4']","['45_0', '45_6', '45_14']"
46_1,"['47_0', '47_4', '47_6']","['45_1', '45_5', '45_32']"
46_2,"['47_0', '47_6', '47_4']","['45_2', '45_32', '45_0']"
46_3,"['47_0', '47_4', '47_1']","['45_3', '45_36', '45_12']"
46_4,"['47_0', '47_6', '47_4']","['45_4', '45_7', '45_16']"
46_5,"['47_2', '47_5', '47_0']","['45_5', '45_32', '45_10']"
46_6,"['47_1', '47_3', '47_0']","['45_15', '45_26', '45_29']"
46_7,"['47_0', '47_6', '47_4']","['45_12', '45_0', '45_31']"
46_8,"['47_0', '47_6', '47_1']","['45_13', '45_29', '45_23']"
46_9,"['47_0', '47_6', '47_4']","['45_8', '45_28', '45_21']"
46_10,"['47_0', '47_4', '47_1']","['45_11', '45_0', '45_12']"
46_11,"['47_0', '47_4', '47_6']","['45_7', '45_4', '45_16']"
46_12,"['47_0', '47_6', '47_2']","['45_25', '45_13', '45_32']"
46_13,"['47_4', '47_0', '47_1']","['45_18', '45_20', '45_4']"
46_14,"['47_0', '47_2', '47_3']","['45_10', '45_5', '45_21']"
46_15,"['47_5', '47_2', '47_0']","['45_17', '45_27', '45_5']"
46_16,"['47_3', '47_1', '47_0']","['45_26', '45_33', '45_15']"
46_17,"['47_0', '47_6', '47_1']","['45_23', '45_13', '45_32']"
46_18,"['47_0', '47_2', '47_5']","['45_27', '45_17', '45_5']"
46_19,"['47_0', '47_6', '47_4']","['45_6', '45_0', '45_22']"
46_20,"['47_0', '47_3', '47_1']","['45_5', '45_1', '45_30']"
46_21,"['47_0', '47_6', '47_2']","['45_21', '45_24', '45_5']"
46_22,"['47_0', '47_1', '47_6']","['45_14', '45_0', '45_32']"
46_23,"['47_0', '47_3', '47_2']","['45_35', '45_5', '45_30']"
46_24,"['47_0', '47_6', '47_4']","['45_16', '45_31', '45_4']"
46_25,"['47_0', '47_3', '47_2']","['45_19', '45_28', '45_34']"
46_26,"['47_0', '47_4', '47_2']","['45_34', '45_5', '45_19']"
46_27,"['47_0', '47_4', '47_6']","['45_28', '45_19', '45_8']"
46_28,"['47_0', '47_6', '47_4']","['45_24', '45_21', '45_14']"
46_29,"['47_0', '47_6', '47_4']","['45_22', '45_32', '45_11']"
46_30,"['47_0', '47_2', '47_4']","['45_31', '45_16', '45_12']"
46_31,"['47_0', '47_4', '47_3']","['45_30', '45_35', '45_11']"
46_32,"['47_0', '47_2', '47_6']","['45_9', '45_5', '45_10']"
46_33,"['47_0', '47_3', '47_1']","['45_33', '45_3', '45_15']"
46_34,"['47_0', '47_2', '47_4']","['45_5', '45_34', '45_21']"
46_35,"['47_5', '47_2', '47_0']","['45_17', '45_27', '45_33']"
46_36,"['47_0', '47_6', '47_2']","['45_32', '45_2', '45_22']"
46_37,"['47_4', '47_0', '47_6']","['45_20', '45_18', '45_0']"
47_0,"['48_0', '48_2', '48_4']","['46_7', '46_36', '46_0']"
47_1,"['48_1', '48_3', '48_0']","['46_6', '46_8', '46_22']"
47_2,"['48_4', '48_5', '48_0']","['46_5', '46_35', '46_14']"
47_3,"['48_3', '48_1', '48_0']","['46_16', '46_6', '46_33']"
47_4,"['48_2', '48_0', '48_1']","['46_37', '46_13', '46_0']"
47_5,"['48_5', '48_4', '48_0']","['46_35', '46_5', '46_15']"
47_6,"['48_2', '48_0', '48_4']","['46_8', '46_4', '46_0']"
48_0,"['49_2', '49_14', '49_4']","['47_0', '47_6', '47_4']"
48_1,"['49_1', '49_22', '49_23']","['47_1', '47_3', '47_0']"
48_2,"['49_5', '49_13', '49_2']","['47_4', '47_6', '47_0']"
48_3,"['49_10', '49_22', '49_1']","['47_3', '47_1', '47_0']"
48_4,"['49_23', '49_13', '49_4']","['47_2', '47_5', '47_0']"
48_5,"['49_23', '49_13', '49_4']","['47_5', '47_2', '47_0']"
49_0,"['50_0', '50_5', '50_30']","['48_0', '48_2', '48_4']"
49_1,"['50_1', '50_12', '50_9']","['48_1', '48_3', '48_0']"
49_2,"['50_6', '50_19', '50_23']","['48_0', '48_2', '48_1']"
49_3,"['50_8', '50_25', '50_4']","['48_0', '48_2', '48_4']"
49_4,"['50_5', '50_0', '50_2']","['48_0', '48_2', '48_4']"
49_5,"['50_13', '50_3', '50_14']","['48_2', '48_0', '48_1']"
49_6,"['50_3', '50_13', '50_12']","['48_0', '48_2', '48_1']"
49_7,"['50_2', '50_5', '50_18']","['48_0', '48_2', '48_4']"
49_8,"['50_16', '50_26', '50_6']","['48_0', '48_2', '48_1']"
49_9,"['50_7', '50_19', '50_21']","['48_0', '48_4', '48_2']"
49_10,"['50_9', '50_1', '50_17']","['48_3', '48_1', '48_0']"
49_11,"['50_21', '50_7', '50_0']","['48_0', '48_2', '48_4']"
49_12,"['50_4', '50_25', '50_7']","['48_0', '48_4', '48_2']"
49_13,"['50_14', '50_12', '50_19']","['48_0', '48_2', '48_4']"
49_14,"['50_10', '50_25', '50_21']","['48_0', '48_2', '48_4']"
49_15,"['50_17', '50_8', '50_4']","['48_0', '48_3', '48_1']"
49_16,"['50_24', '50_14', '50_27']","['48_0', '48_2', '48_1']"
49_17,"['50_13', '50_3', '50_26']","['48_0', '48_2', '48_1']"
49_18,"['50_11', '50_4', '50_7']","['48_0', '48_4', '48_2']"
49_19,"['50_20', '50_25', '50_10']","['48_0', '48_2', '48_4']"
49_20,"['50_27', '50_18', '50_14']","['48_0', '48_2', '48_4']"
49_21,"['50_25', '50_8', '50_4']","['48_0', '48_2', '48_4']"
49_22,"['50_9', '50_12', '50_1']","['48_3', '48_0', '48_1']"
49_23,"['50_12', '50_27', '50_5']","['48_4', '48_0', '48_5']"
49_24,"['50_10', '50_19', '50_6']","['48_0', '48_2', '48_3']"
50_0,"['51_1', '51_7', '51_13']","['49_0', '49_4', '49_11']"
50_1,"['51_0', '51_14', '51_20']","['49_1', '49_23', '49_22']"
50_2,"['51_2', '51_7', '51_5']","['49_7', '49_4', '49_14']"
50_3,"['51_11', '51_22', '51_30']","['49_6', '49_17', '49_2']"
50_4,"['51_21', '51_23', '51_4']","['49_12', '49_21', '49_9']"
50_5,"['51_7', '51_1', '51_2']","['49_4', '49_0', '49_7']"
50_6,"['51_10', '51_6', '51_13']","['49_2', '49_8', '49_7']"
50_7,"['51_4', '51_32', '51_34']","['49_9', '49_21', '49_11']"
50_8,"['51_9', '51_34', '51_8']","['49_3', '49_21', '49_12']"
50_9,"['51_20', '51_0', '51_14']","['49_22', '49_10', '49_1']"
50_10,"['51_26', '51_5', '51_2']","['49_14', '49_19', '49_21']"
50_11,"['51_16', '51_19', '51_21']","['49_18', '49_12', '49_9']"
50_12,"['51_14', '51_8', '51_0']","['49_23', '49_13', '49_4']"
50_13,"['51_18', '51_24', '51_22']","['49_17', '49_2', '49_6']"
50_14,"['51_6', '51_4', '51_14']","['49_13', '49_9', '49_16']"
50_15,"['51_12', '51_20', '51_27']","['49_10', '49_22', '49_3']"
50_16,"['51_7', '51_10', '51_24']","['49_8', '49_4', '49_2']"
50_17,"['51_15', '51_31', '51_9']","['49_15', '49_3', '49_10']"
50_18,"['51_3', '51_33', '51_7']","['49_7', '49_20', '49_4']"
50_19,"['51_6', '51_4', '51_10']","['49_2', '49_9', '49_13']"
50_20,"['51_5', '51_33', '51_2']","['49_19', '49_20', '49_7']"
50_21,"['51_4', '51_34', '51_5']","['49_11', '49_9', '49_14']"
50_22,"['51_19', '51_17', '51_16']","['49_18', '49_9', '49_12']"
50_23,"['51_13', '51_6', '51_1']","['49_2', '49_8', '49_0']"
50_24,"['51_29', '51_24', '51_2']","['49_16', '49_8', '49_20']"
50_25,"['51_5', '51_9', '51_21']","['49_21', '49_19', '49_12']"
50_26,"['51_24', '51_10', '51_6']","['49_8', '49_2', '49_17']"
50_27,"['51_3', '51_14', '51_7']","['49_20', '49_23', '49_4']"
50_28,"['51_33', '51_6', '51_4']","['49_11', '49_2', '49_6']"
50_29,"['51_25', '51_5', '51_7']","['49_12', '49_4', '49_6']"
50_30,"['51_7', '51_1', '51_3']","['49_4', '49_0', '49_8']"
51_0,"['52_2', '52_13', '52_0']","['50_1', '50_12', '50_9']"
51_1,"['52_7', '52_9', '52_4']","['50_0', '50_5', '50_30']"
51_2,"['52_3', '52_1', '52_11']","['50_2', '50_5', '50_10']"
51_3,"['52_1', '52_3', '52_4']","['50_18', '50_27', '50_2']"
51_4,"['52_20', '52_24', '52_11']","['50_7', '50_21', '50_19']"
51_5,"['52_11', '52_3', '52_12']","['50_20', '50_10', '50_25']"
51_6,"['52_6', '52_4', '52_9']","['50_19', '50_6', '50_23']"
51_7,"['52_0', '52_3', '52_4']","['50_5', '50_0', '50_2']"
51_8,"['52_0', '52_25', '52_17']","['50_12', '50_5', '50_8']"
51_9,"['52_17', '52_11', '52_21']","['50_8', '50_25', '50_4']"
51_10,"['52_4', '52_6', '52_9']","['50_6', '50_16', '50_19']"
51_11,"['52_5', '52_0', '52_14']","['50_3', '50_12', '50_5']"
51_12,"['52_30', '52_33', '52_32']","['50_15', '50_9', '50_25']"
51_13,"['52_9', '52_6', '52_4']","['50_23', '50_6', '50_0']"
51_14,"['52_0', '52_13', '52_3']","['50_12', '50_1', '50_14']"
51_15,"['52_26', '52_29', '52_28']","['50_17', '50_8', '50_12']"
51_16,"['52_15', '52_19', '52_21']","['50_11', '50_4', '50_7']"
51_17,"['52_10', '52_19', '52_31']","['50_22', '50_4', '50_13']"
51_18,"['52_18', '52_25', '52_6']","['50_13', '50_3', '50_6']"
51_19,"['52_19', '52_10', '52_15']","['50_22', '50_11', '50_7']"
51_20,"['52_13', '52_2', '52_0']","['50_9', '50_1', '50_12']"
51_21,"['52_21', '52_11', '52_16']","['50_4', '50_25', '50_8']"
51_22,"['52_14', '52_18', '52_5']","['50_3', '50_13', '50_10']"
51_23,"['52_16', '52_21', '52_24']","['50_4', '50_29', '50_16']"
51_24,"['52_4', '52_3', '52_18']","['50_26', '50_16', '50_6']"
51_25,"['52_15', '52_31', '52_5']","['50_29', '50_3', '50_4']"
51_26,"['52_12', '52_11', '52_6']","['50_10', '50_7', '50_25']"
51_27,"['52_32', '52_21', '52_11']","['50_4', '50_25', '50_7']"
51_28,"['52_16', '52_21', '52_3']","['50_4', '50_14', '50_5']"
51_29,"['52_23', '52_3', '52_4']","['50_24', '50_14', '50_3']"
51_30,"['52_22', '52_5', '52_1']","['50_3', '50_18', '50_13']"
51_31,"['52_28', '52_17', '52_29']","['50_17', '50_8', '50_4']"
51_32,"['52_8', '52_20', '52_12']","['50_7', '50_4', '50_25']"
51_33,"['52_3', '52_24', '52_6']","['50_18', '50_20', '50_28']"
51_34,"['52_12', '52_11', '52_17']","['50_21', '50_8', '50_7']"
52_0,"['53_0', '53_24', '53_26']","['51_8', '51_14', '51_7']"
52_1,"['53_1', '53_33', '53_6']","['51_3', '51_2', '51_7']"
52_2,"['53_3', '53_27', '53_0']","['51_0', '51_14', '51_20']"
52_3,"['53_6', '53_33', '53_1']","['51_2', '51_3', '51_7']"
52_4,"['53_11', '53_24', '53_10']","['51_10', '51_6', '51_24']"
52_5,"['53_4', '53_0', '53_16']","['51_11', '51_22', '51_7']"
52_6,"['53_7', '53_31', '53_22']","['51_6', '51_4', '51_13']"
52_7,"['53_2', '53_24', '53_10']","['51_1', '51_13', '51_7']"
52_8,"['53_15', '53_18', '53_22']","['51_32', '51_4', '51_21']"
52_9,"['53_10', '53_2', '53_11']","['51_13', '51_6', '51_1']"
52_10,"['53_14', '53_8', '53_30']","['51_17', '51_19', '51_18']"
52_11,"['53_12', '53_18', '53_9']","['51_5', '51_4', '51_9']"
52_12,"['53_9', '53_12', '53_22']","['51_26', '51_4', '51_34']"
52_13,"['53_13', '53_27', '53_3']","['51_20', '51_0', '51_14']"
52_14,"['53_16', '53_4', '53_31']","['51_22', '51_11', '51_6']"
52_15,"['53_5', '53_25', '53_30']","['51_16', '51_25', '51_9']"
52_16,"['53_20', '53_18', '53_19']","['51_23', '51_28', '51_21']"
52_17,"['53_17', '53_12', '53_18']","['51_9', '51_8', '51_21']"
52_18,"['53_32', '53_31', '53_26']","['51_18', '51_22', '51_6']"
52_19,"['53_8', '53_14', '53_5']","['51_19', '51_16', '51_17']"
52_20,"['53_22', '53_7', '53_18']","['51_4', '51_6', '51_34']"
52_21,"['53_18', '53_12', '53_20']","['51_21', '51_23', '51_4']"
52_22,"['53_23', '53_4', '53_1']","['51_30', '51_11', '51_3']"
52_23,"['53_21', '53_27', '53_33']","['51_29', '51_11', '51_24']"
52_24,"['53_19', '53_2', '53_18']","['51_4', '51_33', '51_1']"
52_25,"['53_26', '53_0', '53_32']","['51_8', '51_18', '51_7']"
52_26,"['53_28', '53_34', '53_0']","['51_15', '51_31', '51_9']"
52_27,"['53_30', '53_24', '53_0']","['51_8', '51_14', '51_1']"
52_28,"['53_34', '53_17', '53_28']","['51_31', '51_15', '51_9']"
52_29,"['53_28', '53_34', '53_18']","['51_15', '51_31', '51_32']"
52_30,"['53_29', '53_8', '53_13']","['51_12', '51_20', '51_27']"
52_31,"['53_25', '53_31', '53_12']","['51_6', '51_4', '51_25']"
52_32,"['53_18', '53_12', '53_8']","['51_27', '51_21', '51_19']"
52_33,"['53_29', '53_22', '53_5']","['51_12', '51_32', '51_4']"
53_0,"['54_31', '54_18', '54_4']","['52_0', '52_25', '52_3']"
53_1,"['54_0', '54_18', '54_7']","['52_1', '52_3', '52_4']"
53_2,"['54_5', '54_25', '54_14']","['52_7', '52_9', '52_24']"
53_3,"['54_3', '54_31', '54_9']","['52_2', '52_13', '52_0']"
53_4,"['54_4', '54_18', '54_31']","['52_5', '52_14', '52_0']"
53_5,"['54_8', '54_12', '54_1']","['52_15', '52_20', '52_8']"
53_6,"['54_7', '54_0', '54_18']","['52_3', '52_1', '52_4']"
53_7,"['54_23', '54_16', '54_14']","['52_6', '52_20', '52_4']"
53_8,"['54_1', '54_8', '54_12']","['52_19', '52_10', '52_21']"
53_9,"['54_17', '54_13', '54_30']","['52_12', '52_11', '52_6']"
53_10,"['54_11', '54_14', '54_5']","['52_9', '52_7', '52_4']"
53_11,"['54_32', '54_14', '54_11']","['52_4', '52_6', '52_3']"
53_12,"['54_13', '54_21', '54_7']","['52_11', '52_21', '52_12']"
53_13,"['54_9', '54_28', '54_3']","['52_13', '52_18', '52_2']"
53_14,"['54_1', '54_12', '54_31']","['52_10', '52_19', '52_27']"
53_15,"['54_12', '54_8', '54_13']","['52_8', '52_20', '52_21']"
53_16,"['54_4', '54_16', '54_13']","['52_14', '52_5', '52_18']"
53_17,"['54_6', '54_13', '54_30']","['52_17', '52_21', '52_11']"
53_18,"['54_19', '54_13', '54_6']","['52_21', '52_11', '52_17']"
53_19,"['54_5', '54_19', '54_13']","['52_24', '52_7', '52_11']"
53_20,"['54_2', '54_19', '54_18']","['52_16', '52_21', '52_24']"
53_21,"['54_22', '54_4', '54_7']","['52_23', '52_3', '52_5']"
53_22,"['54_23', '54_12', '54_19']","['52_20', '52_6', '52_11']"
53_23,"['54_34', '54_4', '54_0']","['52_22', '52_5', '52_1']"
53_24,"['54_10', '54_18', '54_14']","['52_3', '52_4', '52_7']"
53_25,"['54_16', '54_18', '54_20']","['52_31', '52_6', '52_9']"
53_26,"['54_18', '54_31', '54_28']","['52_25', '52_0', '52_18']"
53_27,"['54_3', '54_9', '54_4']","['52_13', '52_2', '52_23']"
53_28,"['54_15', '54_6', '54_29']","['52_26', '52_29', '52_28']"
53_29,"['54_8', '54_12', '54_6']","['52_33', '52_30', '52_20']"
53_30,"['54_31', '54_10', '54_14']","['52_27', '52_0', '52_25']"
53_31,"['54_16', '54_23', '54_20']","['52_6', '52_31', '52_18']"
53_32,"['54_16', '54_28', '54_4']","['52_18', '52_25', '52_6']"
53_33,"['54_0', '54_31', '54_18']","['52_3', '52_1', '52_0']"
53_34,"['54_6', '54_15', '54_29']","['52_28', '52_29', '52_17']"
54_0,"['55_0', '55_11', '55_3']","['53_1', '53_33', '53_6']"
54_1,"['55_14', '55_21', '55_6']","['53_8', '53_14', '53_5']"
54_2,"['55_2', '55_33', '55_21']","['53_20', '53_18', '53_31']"
54_3,"['55_5', '55_37', '55_12']","['53_3', '53_27', '53_13']"
54_4,"['55_8', '55_11', '55_26']","['53_4', '53_16', '53_32']"
54_5,"['55_10', '55_35', '55_30']","['53_2', '53_19', '53_24']"
54_6,"['55_1', '55_17', '55_21']","['53_17', '53_34', '53_18']"
54_7,"['55_3', '55_11', '55_24']","['53_6', '53_12', '53_24']"
54_8,"['55_36', '55_14', '55_6']","['53_5', '53_22', '53_18']"
54_9,"['55_13', '55_26', '55_37']","['53_13', '53_27', '53_20']"
54_10,"['55_19', '55_20', '55_4']","['53_24', '53_2', '53_30']"
54_11,"['55_7', '55_31', '55_4']","['53_10', '53_2', '53_11']"
54_12,"['55_6', '55_14', '55_21']","['53_15', '53_18', '53_22']"
54_13,"['55_17', '55_21', '55_1']","['53_12', '53_18', '53_17']"
54_14,"['55_4', '55_20', '55_11']","['53_24', '53_2', '53_11']"
54_15,"['55_9', '55_16', '55_1']","['53_28', '53_34', '53_17']"
54_16,"['55_15', '55_34', '55_31']","['53_31', '53_32', '53_7']"
54_17,"['55_25', '55_3', '55_17']","['53_9', '53_12', '53_31']"
54_18,"['55_11', '55_4', '55_20']","['53_24', '53_0', '53_6']"
54_19,"['55_21', '55_17', '55_1']","['53_18', '53_12', '53_20']"
54_20,"['55_18', '55_11', '55_15']","['53_31', '53_0', '53_33']"
54_21,"['55_24', '55_3', '55_33']","['53_12', '53_6', '53_18']"
54_22,"['55_12', '55_11', '55_3']","['53_21', '53_27', '53_6']"
54_23,"['55_34', '55_15', '55_31']","['53_7', '53_22', '53_31']"
54_24,"['55_29', '55_20', '55_30']","['53_24', '53_2', '53_12']"
54_25,"['55_30', '55_20', '55_10']","['53_2', '53_24', '53_7']"
54_26,"['55_38', '55_11', '55_12']","['53_21', '53_33', '53_11']"
54_27,"['55_32', '55_21', '55_1']","['53_18', '53_17', '53_12']"
54_28,"['55_26', '55_8', '55_13']","['53_13', '53_32', '53_26']"
54_29,"['55_16', '55_21', '55_9']","['53_18', '53_28', '53_17']"
54_30,"['55_1', '55_17', '55_25']","['53_12', '53_17', '53_9']"
54_31,"['55_11', '55_37', '55_0']","['53_0', '53_33', '53_24']"
54_32,"['55_31', '55_11', '55_4']","['53_11', '53_24', '53_10']"
54_33,"['55_22', '55_19', '55_20']","['53_24', '53_2', '53_30']"
54_34,"['55_23', '55_11', '55_25']","['53_23', '53_32', '53_24']"
55_0,"['56_18', '56_3', '56_0']","['54_0', '54_18', '54_14']"
55_1,"['56_4', '56_7', '56_21']","['54_6', '54_30', '54_13']"
55_2,"['56_17', '56_21', '56_30']","['54_2', '54_19', '54_18']"
55_3,"['56_3', '56_0', '56_7']","['54_7', '54_21', '54_18']"
55_4,"['56_0', '56_13', '56_14']","['54_14', '54_10', '54_18']"
55_5,"['56_12', '56_23', '56_22']","['54_3', '54_9', '54_31']"
55_6,"['56_8', '56_31', '56_19']","['54_12', '54_19', '54_13']"
55_7,"['56_14', '56_1', '56_13']","['54_11', '54_14', '54_5']"
55_8,"['56_5', '56_13', '56_11']","['54_4', '54_28', '54_18']"
55_9,"['56_10', '56_16', '56_4']","['54_15', '54_29', '54_6']"
55_10,"['56_1', '56_14', '56_0']","['54_5', '54_25', '54_11']"
55_11,"['56_0', '56_3', '56_18']","['54_18', '54_10', '54_14']"
55_12,"['56_22', '56_23', '56_5']","['54_22', '54_18', '54_26']"
55_13,"['56_15', '56_23', '56_5']","['54_9', '54_28', '54_3']"
55_14,"['56_26', '56_31', '56_8']","['54_1', '54_12', '54_19']"
55_15,"['56_13', '56_11', '56_27']","['54_16', '54_23', '54_17']"
55_16,"['56_16', '56_10', '56_21']","['54_29', '54_15', '54_19']"
55_17,"['56_7', '56_4', '56_21']","['54_13', '54_19', '54_30']"
55_18,"['56_7', '56_13', '56_19']","['54_20', '54_31', '54_18']"
55_19,"['56_0', '56_1', '56_14']","['54_10', '54_33', '54_14']"
55_20,"['56_0', '56_1', '56_3']","['54_10', '54_25', '54_14']"
55_21,"['56_21', '56_7', '56_19']","['54_19', '54_13', '54_2']"
55_22,"['56_0', '56_3', '56_1']","['54_33', '54_10', '54_14']"
55_23,"['56_25', '56_5', '56_11']","['54_34', '54_4', '54_18']"
55_24,"['56_2', '56_7', '56_30']","['54_21', '54_13', '54_7']"
55_25,"['56_9', '56_7', '56_13']","['54_17', '54_16', '54_30']"
55_26,"['56_5', '56_11', '56_23']","['54_28', '54_9', '54_4']"
55_27,"['56_20', '56_6', '56_21']","['54_19', '54_1', '54_12']"
55_28,"['56_9', '56_7', '56_4']","['54_17', '54_13', '54_30']"
55_29,"['56_0', '56_1', '56_4']","['54_24', '54_25', '54_10']"
55_30,"['56_0', '56_1', '56_27']","['54_25', '54_5', '54_10']"
55_31,"['56_13', '56_14', '56_0']","['54_32', '54_14', '54_11']"
55_32,"['56_28', '56_21', '56_7']","['54_27', '54_19', '54_13']"
55_33,"['56_30', '56_17', '56_2']","['54_21', '54_2', '54_7']"
55_34,"['56_27', '56_13', '56_19']","['54_23', '54_16', '54_25']"
55_35,"['56_1', '56_7', '56_27']","['54_5', '54_30', '54_25']"
55_36,"['56_19', '56_29', '56_27']","['54_23', '54_8', '54_19']"
55_37,"['56_23', '56_15', '56_12']","['54_3', '54_31', '54_9']"
55_38,"['56_3', '56_22', '56_0']","['54_26', '54_18', '54_22']"
56_0,"['57_19', '57_5', '57_2']","['55_20', '55_4', '55_11']"
56_1,"['57_2', '57_5', '57_19']","['55_10', '55_35', '55_30']"
56_2,"['57_4', '57_1', '57_10']","['55_24', '55_33', '55_17']"
56_3,"['57_11', '57_14', '57_19']","['55_3', '55_0', '55_11']"
56_4,"['57_3', '57_1', '57_12']","['55_1', '55_17', '55_21']"
56_5,"['57_6', '57_5', '57_9']","['55_8', '55_26', '55_11']"
56_6,"['57_8', '57_1', '57_4']","['55_27', '55_36', '55_16']"
56_7,"['57_1', '57_3', '57_10']","['55_17', '55_1', '55_21']"
56_8,"['57_13', '57_1', '57_16']","['55_6', '55_14', '55_21']"
56_9,"['57_10', '57_1', '57_3']","['55_28', '55_25', '55_17']"
56_10,"['57_12', '57_7', '57_3']","['55_9', '55_16', '55_1']"
56_11,"['57_9', '57_6', '57_5']","['55_15', '55_26', '55_8']"
56_12,"['57_17', '57_22', '57_6']","['55_5', '55_37', '55_12']"
56_13,"['57_5', '57_16', '57_9']","['55_15', '55_31', '55_34']"
56_14,"['57_5', '57_2', '57_16']","['55_7', '55_31', '55_10']"
56_15,"['57_18', '57_6', '57_17']","['55_13', '55_37', '55_26']"
56_16,"['57_7', '57_12', '57_1']","['55_16', '55_21', '55_9']"
56_17,"['57_0', '57_5', '57_2']","['55_2', '55_33', '55_21']"
56_18,"['57_14', '57_11', '57_19']","['55_0', '55_11', '55_3']"
56_19,"['57_16', '57_1', '57_21']","['55_36', '55_21', '55_34']"
56_20,"['57_8', '57_1', '57_13']","['55_27', '55_21', '55_36']"
56_21,"['57_1', '57_0', '57_3']","['55_21', '55_17', '55_2']"
56_22,"['57_22', '57_6', '57_19']","['55_12', '55_37', '55_11']"
56_23,"['57_6', '57_18', '57_22']","['55_37', '55_5', '55_13']"
