topic,successors,antecedents
13_10,"['14_0', '14_2', '14_1']","['12_1', '12_2', '12_4']"
14_0,"['15_0', '15_1', '15_12']","['13_1', '13_4', '13_0']"
14_1,"['15_5', '15_1', '15_3']","['13_3', '13_1', '13_4']"
14_2,"['15_6', '15_0', '15_1']","['13_5', '13_7', '13_0']"
15_0,"['16_2', '16_1', '16_6']","['14_0', '14_1', '14_2']"
15_1,"['16_0', '16_1', '16_12']","['14_0', '14_1', '14_2']"
15_2,"['16_4', '16_14', '16_10']","['14_0', '14_1', '14_2']"
15_3,"['16_0', '16_3', '16_1']","['14_0', '14_1', '14_2']"
15_4,"['16_5', '16_0', '16_13']","['14_0', '14_1', '14_2']"
15_5,"['16_0', '16_1', '16_17']","['14_1', '14_0', '14_2']"
15_6,"['16_3', '16_7', '16_17']","['14_0', '14_2', '14_1']"
15_7,"['16_9', '16_0', '16_2']","['14_0', '14_1', '14_2']"
15_8,"['16_11', '16_14', '16_15']","['14_0', '14_2', '14_1']"
15_9,"['16_10', '16_2', '16_4']","['14_0', '14_2', '14_1']"
15_10,"['16_8', '16_17', '16_6']","['14_0', '14_2', '14_1']"
15_11,"['16_15', '16_14', '16_0']","['14_0', '14_1', '14_2']"
15_12,"['16_17', '16_1', '16_2']","['14_0', '14_1', '14_2']"
15_13,"['16_16', '16_3', '16_11']","['14_0', '14_2', '14_1']"
15_14,"['16_13', '16_4', '16_14']","['14_0', '14_1', '14_2']"
15_15,"['16_5', '16_3', '16_9']","['14_0', '14_2', '14_1']"
16_0,"['17_12', '17_8', '17_7']","['15_1', '15_3', '15_5']"
16_1,"['17_7', '17_1', '17_12']","['15_0', '15_12', '15_6']"
16_2,"['17_1', '17_18', '17_4']","['15_0', '15_9', '15_12']"
16_3,"['17_2', '17_0', '17_18']","['15_6', '15_0', '15_13']"
16_4,"['17_6', '17_11', '17_5']","['15_2', '15_9', '15_14']"
16_5,"['17_22', '17_10', '17_8']","['15_4', '15_0', '15_8']"
16_6,"['17_4', '17_13', '17_1']","['15_0', '15_8', '15_6']"
16_7,"['17_3', '17_18', '17_2']","['15_6', '15_0', '15_12']"
16_8,"['17_9', '17_1', '17_18']","['15_10', '15_12', '15_0']"
16_9,"['17_8', '17_18', '17_22']","['15_7', '15_0', '15_2']"
16_10,"['17_11', '17_1', '17_6']","['15_9', '15_0', '15_2']"
16_11,"['17_14', '17_5', '17_18']","['15_8', '15_0', '15_9']"
16_12,"['17_16', '17_12', '17_23']","['15_0', '15_4', '15_7']"
16_13,"['17_20', '17_6', '17_11']","['15_14', '15_2', '15_4']"
16_14,"['17_5', '17_14', '17_6']","['15_8', '15_2', '15_14']"
16_15,"['17_17', '17_5', '17_14']","['15_11', '15_8', '15_4']"
16_16,"['17_1', '17_18', '17_14']","['15_13', '15_8', '15_0']"
16_17,"['17_1', '17_7', '17_9']","['15_12', '15_0', '15_10']"
16_18,"['17_19', '17_7', '17_1']","['15_0', '15_12', '15_13']"
16_19,"['17_16', '17_17', '17_8']","['15_7', '15_11', '15_8']"
17_0,"['18_0', '18_13', '18_1']","['16_3', '16_0', '16_6']"
17_1,"['18_16', '18_5', '18_6']","['16_2', '16_10', '16_1']"
17_2,"['18_1', '18_13', '18_24']","['16_3', '16_7', '16_6']"
17_3,"['18_7', '18_24', '18_13']","['16_7', '16_3', '16_17']"
17_4,"['18_3', '18_13', '18_16']","['16_6', '16_2', '16_11']"
17_5,"['18_17', '18_15', '18_10']","['16_14', '16_11', '16_4']"
17_6,"['18_10', '18_6', '18_22']","['16_4', '16_13', '16_14']"
17_7,"['18_9', '18_16', '18_4']","['16_1', '16_0', '16_2']"
17_8,"['18_8', '18_2', '18_9']","['16_0', '16_5', '16_9']"
17_9,"['18_11', '18_16', '18_23']","['16_8', '16_17', '16_2']"
17_10,"['18_2', '18_8', '18_22']","['16_5', '16_13', '16_0']"
17_11,"['18_6', '18_10', '18_22']","['16_10', '16_4', '16_2']"
17_12,"['18_4', '18_9', '18_8']","['16_0', '16_1', '16_12']"
17_13,"['18_12', '18_3', '18_23']","['16_6', '16_3', '16_8']"
17_14,"['18_15', '18_17', '18_13']","['16_11', '16_14', '16_6']"
17_15,"['18_14', '18_9', '18_4']","['16_1', '16_0', '16_2']"
17_16,"['18_20', '18_4', '18_9']","['16_12', '16_19', '16_0']"
17_17,"['18_19', '18_15', '18_4']","['16_15', '16_14', '16_11']"
17_18,"['18_13', '18_16', '18_5']","['16_2', '16_3', '16_6']"
17_19,"['18_21', '18_4', '18_9']","['16_18', '16_1', '16_0']"
17_20,"['18_22', '18_10', '18_6']","['16_13', '16_4', '16_10']"
17_21,"['18_20', '18_2', '18_8']","['16_5', '16_12', '16_0']"
17_22,"['18_2', '18_8', '18_16']","['16_5', '16_2', '16_9']"
17_23,"['18_4', '18_20', '18_22']","['16_12', '16_0', '16_4']"
17_24,"['18_4', '18_10', '18_9']","['16_0', '16_12', '16_3']"
18_0,"['19_3', '19_0', '19_1']","['17_0', '17_18', '17_2']"
18_1,"['19_1', '19_3', '19_0']","['17_2', '17_3', '17_18']"
18_2,"['19_0', '19_3', '19_1']","['17_10', '17_22', '17_8']"
18_3,"['19_0', '19_1', '19_3']","['17_4', '17_1', '17_18']"
18_4,"['19_0', '19_2', '19_3']","['17_12', '17_7', '17_5']"
18_5,"['19_0', '19_3', '19_1']","['17_1', '17_18', '17_11']"
18_6,"['19_0', '19_1', '19_3']","['17_11', '17_6', '17_1']"
18_7,"['19_1', '19_0', '19_3']","['17_3', '17_2', '17_18']"
18_8,"['19_0', '19_3', '19_1']","['17_8', '17_10', '17_7']"
18_9,"['19_0', '19_2', '19_1']","['17_7', '17_12', '17_1']"
18_10,"['19_0', '19_3', '19_1']","['17_6', '17_11', '17_5']"
18_11,"['19_0', '19_3', '19_1']","['17_9', '17_1', '17_18']"
18_12,"['19_0', '19_3', '19_1']","['17_13', '17_4', '17_0']"
18_13,"['19_0', '19_1', '19_3']","['17_18', '17_1', '17_4']"
18_14,"['19_0', '19_2', '19_1']","['17_15', '17_7', '17_12']"
18_15,"['19_0', '19_1', '19_3']","['17_14', '17_5', '17_18']"
18_16,"['19_0', '19_1', '19_3']","['17_1', '17_18', '17_7']"
18_17,"['19_0', '19_1', '19_3']","['17_5', '17_14', '17_6']"
18_18,"['19_2', '19_0', '19_3']","['17_12', '17_19', '17_7']"
18_19,"['19_0', '19_3', '19_2']","['17_17', '17_5', '17_14']"
18_20,"['19_0', '19_3', '19_1']","['17_21', '17_16', '17_10']"
18_21,"['19_0', '19_2', '19_3']","['17_19', '17_7', '17_0']"
18_22,"['19_0', '19_2', '19_3']","['17_20', '17_6', '17_11']"
18_23,"['19_0', '19_3', '19_1']","['17_7', '17_9', '17_13']"
18_24,"['19_1', '19_0', '19_3']","['17_3', '17_18', '17_2']"
19_0,"['20_0', '20_1']","['18_9', '18_4', '18_5']"
19_1,"['20_0', '20_1']","['18_1', '18_13', '18_7']"
19_2,"['20_0', '20_1']","['18_18', '18_4', '18_9']"
19_3,"['20_0', '20_1']","['18_0', '18_13', '18_1']"
20_0,"['21_0', '21_1']","['19_0', '19_1', '19_3']"
20_1,"['21_1', '21_0']","['19_0', '19_2', '19_3']"
21_0,"['22_5', '22_1', '22_0']","['20_0', '20_1']"
21_1,"['22_13', '22_10', '22_17']","['20_1', '20_0']"
22_0,"['23_0', '23_1']","['21_0', '21_1']"
22_1,"['23_0', '23_1']","['21_0', '21_1']"
22_2,"['23_0', '23_1']","['21_0', '21_1']"
22_3,"['23_0', '23_1']","['21_0', '21_1']"
22_4,"['23_1', '23_0']","['21_0', '21_1']"
22_5,"['23_0', '23_1']","['21_0', '21_1']"
22_6,"['23_0', '23_1']","['21_0', '21_1']"
22_7,"['23_0', '23_1']","['21_0', '21_1']"
22_8,"['23_0', '23_1']","['21_0', '21_1']"
22_9,"['23_0', '23_1']","['21_0', '21_1']"
22_10,"['23_0', '23_1']","['21_0', '21_1']"
22_11,"['23_0', '23_1']","['21_0', '21_1']"
22_12,"['23_0', '23_1']","['21_0', '21_1']"
22_13,"['23_0', '23_1']","['21_0', '21_1']"
22_14,"['23_0', '23_1']","['21_0', '21_1']"
22_15,"['23_0', '23_1']","['21_0', '21_1']"
22_16,"['23_0', '23_1']","['21_0', '21_1']"
22_17,"['23_0', '23_1']","['21_0', '21_1']"
23_0,"['24_0', '24_10', '24_6']","['22_0', '22_1', '22_5']"
23_1,"['24_1', '24_8', '24_3']","['22_4', '22_2', '22_10']"
24_0,"['25_0', '25_11', '25_18']","['23_0', '23_1']"
24_1,"['25_9', '25_2', '25_1']","['23_1', '23_0']"
24_2,"['25_5', '25_7', '25_0']","['23_0', '23_1']"
24_3,"['25_1', '25_13', '25_20']","['23_0', '23_1']"
24_4,"['25_6', '25_7', '25_5']","['23_0', '23_1']"
24_5,"['25_2', '25_0', '25_18']","['23_0', '23_1']"
24_6,"['25_7', '25_5', '25_4']","['23_0', '23_1']"
24_7,"['25_8', '25_14', '25_13']","['23_0', '23_1']"
24_8,"['25_9', '25_2', '25_1']","['23_1', '23_0']"
24_9,"['25_16', '25_21', '25_20']","['23_0', '23_1']"
24_10,"['25_4', '25_7', '25_0']","['23_0', '23_1']"
24_11,"['25_11', '25_0', '25_4']","['23_0', '23_1']"
24_12,"['25_14', '25_8', '25_13']","['23_0', '23_1']"
24_13,"['25_3', '25_2', '25_13']","['23_0', '23_1']"
24_14,"['25_10', '25_2', '25_17']","['23_0', '23_1']"
24_15,"['25_13', '25_18', '25_20']","['23_0', '23_1']"
24_16,"['25_20', '25_5', '25_3']","['23_0', '23_1']"
24_17,"['25_12', '25_7', '25_1']","['23_0', '23_1']"
24_18,"['25_19', '25_7', '25_1']","['23_0', '23_1']"
24_19,"['25_15', '25_4', '25_13']","['23_0', '23_1']"
24_20,"['25_18', '25_13', '25_0']","['23_0', '23_1']"
