relation,similarity,window1,window2,topic_id
continued,0.1272813137520144,8,9,42
continued,0.10590394207323389,8,9,43
continued,0.15315043239678244,8,9,44
continued,0.06823091783490601,8,9,45
continued,0.11088508762267246,8,9,46
continued,0.11124958107246262,8,9,47
continued,0.04534903299200498,8,9,48
continued,0.13598389337074218,8,9,49
continued,0.16629196472779292,9,10,0
continued,0.07669244125642324,9,10,1
continued,0.042209054717142966,9,10,2
continued,0.1955445866665985,9,10,3
continued,0.10813097865719387,9,10,4
continued,0.13685218742345107,9,10,5
continued,0.10014318006740044,9,10,6
continued,0.13615176217997554,9,10,7
continued,0.1352130805790265,9,10,8
continued,0.006723968693684914,9,10,9
continued,0.11551254009426021,9,10,10
continued,0.0032484988798218858,9,10,11
continued,0.0758033034065611,9,10,12
continued,0.14366890581669037,9,10,13
continued,0.16750845224097105,9,10,14
continued,0.15669873134336249,9,10,15
continued,0.10119304726094797,9,10,16
continued,0.1851847904871085,9,10,17
continued,0.11304282195085665,9,10,18
continued,0.1750603112803002,9,10,19
continued,0.08086925057571277,9,10,20
continued,0.1931526908365176,9,10,21
continued,0.17447949391406584,9,10,22
continued,0.011251548799975464,9,10,23
continued,0.0004326290442460485,9,10,24
continued,0.17581237832244662,9,10,25
continued,0.05974128192043301,9,10,26
continued,0.14514782523075848,9,10,27
continued,0.004411566468083201,9,10,28
continued,0.08044144731723558,9,10,29
continued,0.13131662897434634,9,10,30
continued,0.10900500200564037,9,10,31
continued,0.1540168831542277,9,10,32
continued,0.16660432829934985,9,10,33
continued,0.018433591899885342,9,10,34
continued,0.037354749364932265,9,10,35
continued,0.048102838271748515,9,10,36
continued,0.20032470655019424,9,10,37
continued,0.09641397055887359,9,10,38
continued,0.135619840172895,9,10,39
continued,0.15037864101430304,9,10,40
continued,0.12013799155822347,9,10,41
continued,0.07388003417676131,9,10,42
continued,0.17297167045169187,9,10,43
continued,0.09357879902531628,9,10,44
continued,0.09733781251745684,9,10,45
continued,0.05315351853694157,9,10,46
continued,0.13557007293812703,9,10,47
continued,0.07866092569013819,9,10,48
continued,0.1137214539545485,9,10,49
continued,0.11268584574149251,10,11,0
continued,0.13676116968469548,10,11,1
continued,0.17923046883717675,10,11,2
continued,0.08234755883107646,10,11,3
continued,0.14258973169370254,10,11,4
continued,0.06543592960134914,10,11,5
continued,0.22935802731682917,10,11,6
continued,0.12538392832648812,10,11,7
continued,0.18093810819704362,10,11,8
continued,0.02119479018227322,10,11,9
continued,0.18528691619109566,10,11,10
continued,0.12786325825477013,10,11,11
continued,0.057104079282689194,10,11,12
continued,0.0768026582942831,10,11,13
continued,0.053827273739074345,10,11,14
continued,0.06779057686891266,10,11,15
continued,0.11410247582619616,10,11,16
continued,0.11977387554406382,10,11,17
continued,0.10858901394039247,10,11,18
continued,0.048931999200377045,10,11,19
continued,0.1290955488922033,10,11,20
continued,0.17516751671460168,10,11,21
continued,0.11753232710466426,10,11,22
continued,0.07725665282756841,10,11,23
continued,0.08609016154904521,10,11,24
continued,0.12604083594563995,10,11,25
continued,0.03389670135117296,10,11,26
continued,0.12408291860593212,10,11,27
continued,0.11462307883593004,10,11,28
continued,0.1473770234042633,10,11,29
continued,0.07559404124189173,10,11,30
continued,0.1346814325757205,10,11,31
continued,0.07248455499895941,10,11,32
continued,0.10688665195005514,10,11,33
continued,0.1483455257760904,10,11,34
continued,0.12129867956843068,10,11,35
continued,0.13509223920100627,10,11,36
continued,0.08995773463381557,10,11,37
continued,0.20169895595559478,10,11,38
continued,0.051270538768122056,10,11,39
continued,0.08894490399102488,10,11,40
continued,0.0929624037416822,10,11,41
continued,0.028868097142152865,10,11,42
continued,0.10746094539424132,10,11,43
continued,0.08548240457598054,10,11,44
continued,0.11029623071828269,10,11,45
continued,0.09533808271164815,10,11,46
continued,-0.0356315116876598,10,11,47
continued,0.08130201451109113,10,11,48
continued,0.09363518954139113,10,11,49
continued,0.11657520241759765,11,12,0
continued,0.14744673384445303,11,12,1
continued,0.1006191818254604,11,12,2
continued,0.2000649603156179,11,12,3
continued,0.16446096732072327,11,12,4
continued,-0.004348177958097579,11,12,5
continued,0.09879278630602231,11,12,6
continued,0.09438111624224949,11,12,7
continued,0.18376421811448307,11,12,8
continued,0.030697997845723527,11,12,9
continued,0.1007211269693345,11,12,10
continued,0.1477516208167286,11,12,11
continued,0.04155794134953778,11,12,12
continued,0.12376540831271463,11,12,13
continued,0.09970269925551561,11,12,14
continued,0.07113901077669545,11,12,15
continued,0.07546878818623456,11,12,16
continued,0.13553174463085949,11,12,17
continued,0.04472595425626358,11,12,18
continued,0.05930673372023846,11,12,19
continued,0.11198760791549595,11,12,20
continued,0.049840588146509504,11,12,21
continued,0.14783216102787497,11,12,22
continued,0.05859098284801912,11,12,23
continued,0.059280610606711845,11,12,24
continued,0.1852685960906491,11,12,25
continued,0.11376474328199498,11,12,26
continued,0.1854370453347629,11,12,27
continued,0.12235404841553191,11,12,28
continued,0.042022048775343865,11,12,29
continued,0.07650634246783107,11,12,30
continued,0.09519338440545472,11,12,31
continued,0.05625163705335617,11,12,32
continued,0.043329936520564154,11,12,33
continued,0.15215617953718721,11,12,34
continued,0.04483365753269736,11,12,35
