topic,timepoint1,timepoint2,similarity
2,194,195,0.8103684293076434
2,195,196,0.8737510707622823
2,196,197,0.9265329145037936
2,197,198,0.8874318024447336
2,198,199,0.8537939930280561
2,199,200,0.7906978567730716
2,200,201,0.9999999986490931
2,201,202,0.8791542337570099
2,202,203,0.8935719766968003
2,203,204,0.8737193234530568
2,204,205,0.9667670571510207
2,205,206,0.9621883403705689
2,206,207,0.9634118067816091
2,207,208,0.9166809562221081
2,208,209,0.9372536605361628
2,209,210,0.7271077078979884
2,210,211,0.7439637318518794
2,211,212,0.9060708410896101
2,212,213,0.9422128857341511
2,213,214,0.9662425316815327
2,214,215,0.8520089590868923
2,215,216,0.7459213366312173
2,216,217,0.9805314322634414
2,217,218,0.938679083357599
2,218,219,0.9683011287966088
2,219,220,0.9803454414181674
2,220,221,0.8958369994947261
2,221,222,0.8970568886174881
2,222,223,0.9666037780617881
2,223,224,0.9144345898009031
2,224,225,0.9999999964469682
2,225,226,0.8937299214340211
3,0,1,0.9684289051644057
3,1,2,0.6841523417382891
3,2,3,0.6625493142764645
3,3,4,0.829929002808728
3,4,5,0.8869016804138662
3,5,6,0.8457830390931916
3,6,7,0.7679594708029372
3,7,8,0.5435300304348584
3,8,9,0.6749511437470432
3,9,10,0.7085451325329855
3,10,11,0.7170456667178394
3,11,12,0.898541144382834
3,12,13,0.8775463636789814
3,13,14,0.8751245571501788
3,14,15,0.9079913456851798
3,15,16,0.8025328863738728
3,16,17,0.8169533943317043
3,17,18,0.8663478235158781
3,18,19,0.7851928003902245
3,19,20,0.9609487102075256
3,20,21,0.7237939791250483
3,21,22,0.8854775521333259
3,22,23,0.7464634253278749
3,23,24,0.8172621302330141
3,24,25,0.968428329687777
3,25,26,0.7321975735878375
3,26,27,0.7763341816034326
3,27,28,0.8964117785687662
3,28,29,0.7778346523053407
3,29,30,0.632228492493983
3,30,31,0.7638258158733748
3,31,32,0.8214021305876664
3,32,33,0.7884300584346361
3,33,34,0.990696810713358
3,34,35,0.9327586885840646
3,35,36,0.9561981995720579
3,36,37,0.9884985259174451
3,37,38,0.8792923153568303
3,38,39,0.9455345497799438
3,39,40,0.7733288450020307
3,40,41,0.8785648558003576
3,41,42,0.9352998094452369
3,42,43,0.9318056059310382
3,43,44,0.9840155740326564
3,44,45,0.9914404420605413
3,45,46,0.9914406888018299
3,46,47,0.9838796552708844
3,47,48,0.99290463212146
3,48,49,0.9859228069561582
3,49,50,0.9999999980657908
3,50,51,0.9735442234799908
3,51,52,0.9411837868471447
3,52,53,0.9106583024671252
3,53,54,0.9832082440891193
3,54,55,0.9685399520342535
3,55,56,0.9694484097252407
3,56,57,0.9788974014665114
3,57,58,0.9420990639997554
3,58,59,0.9914208427992789
3,59,60,0.9858491517412487
3,60,61,0.9556198061869001
3,61,62,0.9909239532759787
3,62,63,0.9914129415487403
3,63,64,0.9999999962017331
3,64,65,0.9825377168077007
3,65,66,0.9694446975528161
3,66,67,0.9926525521931124
3,67,68,0.9999999163360467
3,68,69,0.985445957610385
3,69,70,0.9505577842340799
3,70,71,0.9701013466822819
3,71,72,0.7243698763795033
3,72,73,0.8604966521638424
3,73,74,0.846974441308264
3,74,75,0.9591481809107985
3,75,76,0.965144167584461
3,76,77,0.9914145641381019
3,77,78,0.9227075465684527
3,78,79,0.9136244534162181
3,79,80,0.856819089906876
3,80,81,0.7708606984288747
3,81,82,0.7027435207290698
3,82,83,0.9552705986814978
3,83,84,0.9999999358358327
3,84,85,0.8817433994473376
3,85,86,0.8848588447237553
3,86,87,0.9844363944436522
3,87,88,0.9443363892591827
3,88,89,0.8956642672893494
3,89,90,0.8362946875118378
3,90,91,0.7775017155422322
3,91,92,0.8737018240281076
3,92,93,0.6739737624426755
3,93,94,0.9733260036481173
3,94,95,0.9862072959604808
3,95,96,0.781150755506937
3,96,97,0.7682163933002754
3,97,98,0.9740317642685448
3,98,99,0.9740106304112138
3,99,100,0.9718426581646851
3,100,101,0.9784794632318594
3,101,102,0.966791289210663
3,102,103,0.9879917616336827
3,103,104,0.9999964642073758
3,104,105,0.971323058473126
3,105,106,0.9926432002026805
3,106,107,0.9655682207110763
3,107,108,0.9698328934443491
3,108,109,0.9776213831641101
3,109,110,0.9776538784030565
3,110,111,0.9787143169361352
3,111,112,0.9785478511852991
3,112,113,0.9867314322460896
3,113,114,0.9791467850722865
3,114,115,0.9784142261008089
3,115,116,0.9609828066801319
3,116,117,0.95662931079706
3,117,118,0.9919217168292381
3,118,119,0.9736138282913512
3,119,120,0.9459101555297561
3,120,121,0.9752681214385092
3,121,122,0.7253860214608489
3,122,123,0.8535512812542067
3,123,124,0.642638432167166
3,124,125,0.6623421283417449
3,125,126,0.9724384786769298
3,126,127,0.7989210765794506
3,127,128,0.9771929502523095
3,128,129,0.9170886706353404
3,129,130,0.7556438194565449
3,130,131,0.9783262793138054
3,131,132,0.9792557281268568
3,132,133,0.9143436834954425
3,133,134,0.8283646823856571
3,134,135,0.9657664639368035
3,135,136,0.9785342194501531
3,136,137,0.8892669894591152
3,137,138,0.8922211955378808
3,138,139,0.768163571324763
3,139,140,0.983380126737211
3,140,141,0.9492207466297953
3,141,142,0.5462622117261661
3,142,143,0.5790842829751441
3,143,144,0.9359427359463156
3,144,145,0.9771932136916981
3,145,146,0.8423874647927435
3,146,147,0.82654050378613
3,147,148,0.9277019331109033
3,148,149,0.9515507820294467
3,149,150,0.9172145058573423
3,150,151,0.8539219812364502
3,151,152,0.8719608637924181
