window1,topic1,topic1_words,window2,successors,successors_words,successors_similarities,coverage_forward,coverage_backward,coverage_sum_forward,coverage_sum_backward,relation,topics_from,topics_from_words,topic_to,topic_to_words,antecedents_similarities
20,27.0,"['local', 'constitution', 'purpose', 'grant', 'constitutional', 'reserve', 'separate', 'sovereignty', 'confederate', 'enumerate']",21,[1],"[['constitution', 'amendment', 'confederation', 'legislature', 'enumerate', 'article', 'delegate', 'clause', 'reserve', 'expressly']]",[0.911],[0.714],[0.68],0.714,0.68,continued,,,,,
20,28.0,"['columbia', 'district', 'relation', 'commend', 'liberal', 'peculiar', 'city', 'especially', 'inhabitant', 'washington']",21,[10],"[['territory', 'district', 'columbia', 'land', 'settler', 'vice', 'education', 'actual', 'population', 'senator']]",[0.748],[0.857],[0.312],0.857,0.312,disappeared,,,,,
20,29.0,"['greatly', 'railroad', 'route', 'communication', 'commercial', 'exploration', 'enhance', 'economical', 'importance', 'deem']",21,[26],"[['road', 'railroad', 'pacific', 'construction', 'west', 'mountains', 'regularly', 'rocky', 'route', 'undertake']]",[0.841],[0.667],[1.0],0.667,1.0,unclear,,,,,
20,30.0,"['fraud', 'importer', 'book', 'specific', 'levy', 'duty', 'evidence', 'false', 'treasury', 'perjury']",21,[],[],[],[],[],0.0,0.0,disappeared,,,,,
21,0.0,"['mexico', 'mexican', 'republic', 'redress', 'constitutional', 'wrong', 'minister', 'capital', 'injury', 'outrage']",22,[7],"[['mexico', 'mexican', 'republic', 'constitutional', 'redress', 'property', 'arizona', 'wrong', 'miramon', 'establish']]",[0.988],[0.861],[1.0],0.861,1.0,continued,,,,,
21,1.0,"['constitution', 'amendment', 'confederation', 'legislature', 'enumerate', 'article', 'delegate', 'clause', 'reserve', 'expressly']",22,[2],"[['constitution', 'legislature', 'amendment', 'constitutional', 'sovereign', 'article', 'slave', 'exercise', 'confederation', 'provision']]",[0.981],[1.0],[0.806],1.0,0.806,continued,,,,,
21,2.0,"['duty', 'revenue', 'specific', 'tariff', 'article', 'manufacturer', 'valorem', 'ad', 'manufacture', 'import']",22,[16],"[['duty', 'specific', 'revenue', 'article', 'valorem', 'ad', 'tariff', 'manufacturer', 'value', 'price']]",[0.974],[0.783],[1.0],0.783,1.0,continued,,,,,
21,3.0,"['fiscal', 'estimate', 'treasury', 'june', 'expenditure', 'balance', 'quarter', 'july', 'receipt', 'aggregate']",22,[4],"[['treasury', 'fiscal', 'estimate', 'balance', 'june', 'expenditure', 'receipt', 'quarter', 'july', 'aggregate']]",[0.976],[1.0],[0.812],1.0,0.812,continued,,,,,
21,4.0,"['minister', 'french', 'chinese', 'treaty', 'france', 'china', 'empire', 'exchange', 'th', 'plenipotentiary']",22,[5],"[['minister', 'empire', 'treaty', 'china', 'chinese', 'french', 'france', 'exchange', 'brazil', 'th']]",[0.966],[0.909],[0.71],0.909,0.71,continued,,,,,
21,5.0,"['spanish', 'spain', 'claim', 'cuba', 'amistad', 'madrid', 'december', 'cuban', 'claimant', 'urge']",22,[12],"[['spain', 'spanish', 'claim', 'cuba', 'amistad', 'madrid', 'december', 'negotiation', 'cuban', 'minister']]",[0.986],[0.947],[0.944],0.947,0.944,continued,,,,,
21,6.0,"['utah', 'mormon', 'governor', 'territory', 'indian', 'send', 'young', 'rebellion', 'army', 'troop']",22,[9],"[['utah', 'territory', 'mormon', 'governor', 'indian', 'young', 'send', 'troop', 'rebellion', 'officer']]",[0.991],[1.0],[0.9],1.0,0.9,continued,,,,,
21,8.0,"['institution', 'social', 'southern', 'agitation', 'domestic', 'agitator', 'existence', 'organization', 'passion', 'evil']",22,[14],"[['disloyal', 'social', 'hostile', 'sound', 'actuate', 'prudence', 'ambition', 'invoke', 'sure', 'profound']]",[0.851],[0.389],[0.733],0.389,0.733,disappeared,,,,,
21,9.0,"['route', 'nicaragua', 'isthmus', 'transit', 'panama', 'pacific', 'company', 'atlantic', 'communication', 'treaty']",22,[13],"[['route', 'transit', 'nicaragua', 'isthmus', 'panama', 'pacific', 'treaty', 'granada', 'passage', 'pass']]",[0.977],[0.938],[0.824],0.938,0.824,continued,,,,,
21,10.0,"['territory', 'district', 'columbia', 'land', 'settler', 'vice', 'education', 'actual', 'population', 'senator']",22,[3],"[['land', 'territory', 'tribe', 'settlement', 'interior', 'sale', 'acre', 'sum', 'indian', 'population']]",[0.882],[0.75],[0.629],0.75,0.629,unclear,,,,,
21,11.0,"['slave', 'african', 'prohibit', 'civilization', 'importation', 'master', 'africa', 'market', 'reopen', 'extend']",22,[19],"[['slave', 'civilization', 'african', 'master', 'africa', 'market', 'reopen', 'cuba', 'supply', 'domestic']]",[0.937],[0.688],[1.0],0.688,1.0,continued,,,,,
21,12.0,"['bank', 'circulation', 'currency', 'specie', 'paper', 'deposit', 'gold', 'loan', 'dollar', 'issue']",22,[6],"[['bank', 'currency', 'circulation', 'coin', 'paper', 'specie', 'gold', 'credit', 'note', 'dollar']]",[0.971],[1.0],[0.75],1.0,0.75,continued,,,,,
21,13.0,"['kansas', 'vote', 'election', 'majority', 'constitution', 'party', 'topeka', 'slavery', 'civil', 'frame']",22,[1],"[['kansas', 'constitution', 'slavery', 'vote', 'majority', 'election', 'admission', 'convention', 'territory', 'form']]",[0.971],[1.0],[0.514],1.0,0.514,continued,,,,,
21,14.0,"['british', 'island', 'mr', 'authority', 'collision', 'washington', 'britain', 'marcy', 'juan', 'company']",22,[],[],[],[],[],0.0,0.0,disappeared,,,,,
21,15.0,"['postmaster', 'mail', 'post', 'office', 'transportation', 'end', 'expenditure', 'june', 'postage', 'treasury']",22,[15],"[['post', 'office', 'postmaster', 'mail', 'fiscal', 'postal', 'postage', 'deficiency', 'mile', 'expenditure']]",[0.962],[0.929],[0.929],0.929,0.929,continued,,,,,
21,16.0,"['denmark', 'sound', 'baltic', 'due', 'arrangement', 'cargoe', 'toll', 'tribute', 'convention', 'proposition']",22,[],[],[],[],[],0.0,0.0,disappeared,,,,,
21,17.0,"['domestic', 'danger', 'liberty', 'apprehension', 'blessing', 'providence', 'institution', 'integrity', 'generation', 'human']",22,[10],"[['white', 'emancipation', 'slave', 'north', 'slavery', 'color', 'old', 'section', 'wage', 'south']]",[0.928],[0.833],[0.526],0.833,0.526,continued,,,,,
21,18.0,"['naval', 'privateer', 'belligerent', 'paris', 'declaration', 'maritime', 'propose', 'proposition', 'property', 'privateering']",22,[],[],[],[],[],0.0,0.0,disappeared,,,,,
21,19.0,"['navy', 'secretary', 'efficiency', 'construction', 'vessel', 'draft', 'recommend', 'naval', 'light', 'recommendation']",22,[0],"[['vessel', 'navy', 'british', 'naval', 'secretary', 'island', 'authority', 'sea', 'mr', 'report']]",[0.92],[0.9],[0.32],0.9,0.32,disappeared,,,,,
21,21.0,"['kansas', 'territory', 'disorder', 'obstruction', 'occur', 'attainment', 'view', 'lesson', 'irregularity', 'flame']",22,[],[],[],[],[],0.0,0.0,disappeared,,,,,
21,22.0,"['bill', 'approve', 'inconvenience', 'rule', 'approval', 'practice', 'appropriation', 'elect', 'examine', 'present']",22,[8],"[['bill', 'approve', 'inconvenience', 'appropriation', 'rule', 'approval', 'practice', 'recommend', 'present', 'elect']]",[0.94],[1.0],[0.773],1.0,0.773,continued,,,,,
21,23.0,"['constitutional', 'revolution', 'secession', 'constitution', 'exercise', 'legislature', 'party', 'equality', 'territorial', 'resistance']",22,[],[],[],[],[],0.0,0.0,disappeared,,,,,
21,24.0,"['artillery', 'army', 'officer', 'staff', 'duty', 'troop', 'regiment', 'perform', 'additional', 'field']",22,[],[],[],[],[],0.0,0.0,disappeared,,,,,
21,25.0,"['slavery', 'majority', 'constitution', 'kansas', 'convention', 'institution', 'delegate', 'vote', 'form', 'admission']",22,[],[],[],[],[],0.0,0.0,disappeared,,,,,
