year,cv,npmi,umass,diversity,tq
1839,0.3305500653145195,-0.4018027745528234,-8.870561170146235,0.8211428571428572,0.2714288250611226
1840,0.4040165813150762,-0.5214574343242152,-13.085909465800968,0.9125714285714285,0.36869398877724374
1841,0.41338282264356896,-0.5296977719012763,-11.737497701948763,0.9180408163265307,0.3795023039550675
1842,0.3778833451672569,-0.5266719431315426,-11.973258253343667,0.9139591836734692,0.34536995367286594
1843,0.3775737299170087,-0.519040451350105,-10.998883605058625,0.8929795918367348,0.337165635229564
1844,0.38697438483991253,-0.4958549935868794,-12.121049135079272,0.8878367346938777,0.3435700742464399
1845,0.34922957136710564,-0.412951760458512,-10.15278796544374,0.805061224489796,0.2811511863528487
1846,0.3418181093093853,-0.3043793371708143,-7.099032244874231,0.7316734693877549,0.2500992419379608
1847,0.3454810646447887,-0.3289655102385225,-8.851009981241013,0.771591836734694,0.2665703692263301
1848,0.3612189805301227,-0.4262675633012023,-11.428875973435776,0.8599183673469389,0.3106188359921888
1849,0.38411940008406326,-0.475772915118078,-12.891390585896717,0.8946938775510204,0.3436692755037823
1850,0.43221946477932893,-0.5096100526629394,-14.800469685315345,0.8964081632653059,0.38744505655035183
1851,0.3877843795531392,-0.4547783396369327,-12.790604625019725,0.8635102040816327,0.33485576872760053
1852,0.4075338488416844,-0.5244381015294284,-13.793792254467808,0.9139591836734695,0.372469303806653
1853,0.4128638562269186,-0.4944762930827536,-14.447938965842473,0.8955102040816325,0.3697237961476977
1854,0.3994693772732733,-0.5030366213022461,-11.456887879775747,0.9008163265306124,0.3598485369967814
1855,0.4253009290780472,-0.4723988335366822,-14.057127440057767,0.861387755102041,0.36634901254135144
1856,0.3692032796902517,-0.4595971631276671,-12.353794096948853,0.8622857142857143,0.31835871374433705
1857,0.3824300746910269,-0.3882245914357808,-10.976860624188312,0.8159183673469389,0.31203172216627056
1858,0.3524435349217531,-0.43142355389558906,-10.340590090273814,0.8366530612244898,0.29487296240106514
1859,0.3122923509831821,-0.38118409079143356,-9.545976919264438,0.7970612244897959,0.24891612367345223
1860,0.3639240235546382,-0.41925832981503125,-11.538322878364557,0.8328163265306122,0.30308186843301377
1861,0.5061794653773067,-0.5678829823804523,-18.51163623139283,0.929795918367347,0.4706436008691856
1862,0.4533890818710658,-0.5596130481729061,-16.30061853256294,0.9144489795918368,0.4146011832750759
1863,0.4545907641963732,-0.5643667160035638,-17.48097337641299,0.9386938775510205,0.4267215671423752
1864,0.5218984210037675,-0.5661327035854922,-19.12389362617988,0.9450612244897958,0.4932259608131115
1865,0.42327106807661785,-0.55150347183649,-15.782421130843383,0.929061224489796,0.39324473679836636
1866,0.43531070874042244,-0.5376645786263797,-15.44663667197162,0.9261224489795918,0.40315101964572186
1867,0.37226740906839234,-0.4786895132036259,-11.538532716378947,0.8844081632653061,0.32923633549771125
1868,0.3916377290612009,-0.4788053684993509,-13.328466209704075,0.8644897959183673,0.3385668204700504
1869,0.49361534842712307,-0.5401722185905229,-17.934112176167687,0.9231020408163265,0.4556573355113394
1870,0.48481497986298583,-0.5360808908900926,-16.786938068700884,0.9060408163265308,0.4392621601223903
1871,0.5476286346706614,-0.5757208793177582,-19.44235212694417,0.930122448979592,0.5093616868112258
1872,0.5249821066476703,-0.5620118444673866,-18.855741285704866,0.9311020408163266,0.4888119108917003
1873,0.45797893895632386,-0.5149395751749379,-16.408290703159135,0.8986938775510205,0.4115828684873608
1874,0.42829673441672805,-0.5263222368186813,-15.05526954707444,0.9107755102040818,0.3900821768071376
1875,0.4263846567495277,-0.5069886994272657,-13.589314099304405,0.8933061224489798,0.3808920243926598
1876,0.4987694380021036,-0.5451704210018753,-18.209032832628118,0.9185306122448981,0.45813499725711593
1877,0.4494504423427416,-0.5019846193945914,-16.550230700686043,0.8985306122448979,0.4038449811319638
1878,0.46766714887858746,-0.5379599810054491,-16.697375880043317,0.909469387755102,0.4253289555637831
1879,0.41803531294034196,-0.4952140501209366,-14.479713867331732,0.8656326530612245,0.36186501701382745
1880,0.4651322174073076,-0.5574153536767583,-17.093139481038214,0.9360816326530612,0.4354017254701711
1881,0.6141123482929274,-0.6115674221888232,-21.819933832853867,0.9736326530612245,0.5979198349461016
1882,0.6018189704223791,-0.628639906628244,-21.552366155903385,0.9737142857142858,0.5859997289141338
1883,0.5563963103287066,-0.588764909633825,-20.32108667240032,0.9469387755102041,0.526873240801061
1884,0.47684926746401374,-0.5290299098049388,-17.094776176214012,0.8853061224489795,0.42215757597120235
1885,0.409435374786605,-0.4517415879689403,-14.235720350661202,0.8516734693877551,0.3487052461345837
1886,0.4236104425956039,-0.46954778569427724,-14.816321597940542,0.8512653061224489,0.3606048730928128
1887,0.4278091750439088,-0.4587959757845064,-13.740213616838524,0.8854693877551019,0.37881192830214516
1888,0.4966936464035816,-0.5227461312477508,-18.179987990444424,0.9070204081632653,0.45051127389307716
1889,0.44544903757014526,-0.49289659810145237,-15.237000418259408,0.8484081632653063,0.3779225997931854
